# challenge training
SC-HF-I-1: 0001
SC-HF-I-2: 0001
SC-HF-I-4: 0001
SC-HF-I-40: 0001
SC-HF-NI-3: 0001
SC-HF-NI-4: 0001
SC-HF-NI-34: 0001
SC-HF-NI-36: 0001
SC-HYP-1: 0001
SC-HYP-3: 0001
SC-HYP-38: 0001
SC-HYP-40: 0001
SC-N-2: 0001
SC-N-3: 0001
SC-N-40: 0001
# challenge online
SC-HF-I-9: 0001
SC-HF-I-10: 0001
SC-HF-I-11: 0001
SC-HF-I-12: 0001
SC-HF-NI-12: 0001
SC-HF-NI-13: 0001
SC-HF-NI-14: 0001
SC-HF-NI-15: 0001
SC-HYP-9: 0001
SC-HYP-10: 0001
SC-HYP-11: 0001
SC-HYP-12: 0001
SC-N-9: 0001
SC-N-10: 0001
SC-N-11: 0001
# challenge validation
SC-HF-I-5: 0001
SC-HF-I-6: 0001
SC-HF-I-7: 0001
SC-HF-I-8: 0001
SC-HF-NI-7: 0001
SC-HF-NI-11: 0001
SC-HF-NI-31: 0001
SC-HF-NI-33: 0001
SC-HYP-6: 0001
SC-HYP-7: 0001
SC-HYP-8: 0001
SC-HYP-37: 0001
SC-N-5: 0001
SC-N-6: 0001
SC-N-7: 0001
